entrez,pval,fc
57584,2.00482190217765e-161,1.52704333120565
140890,3.1986372807841503e-161,1.75241372097488
989,3.23876841587394e-160,1.4223982628752
9748,1.24926111178028e-159,2.05552937719026
10111,2.58440385623265e-159,1.88188716147477
87178,3.28162826116678e-159,1.74049520710656
6596,3.90972746553069e-159,1.52624485197591
284,5.49937251046798e-158,1.82028996223045
84146,2.00100538229577e-156,2.03321699471674
3516,1.7182799816580902e-155,1.50224017136829
79832,3.5435131768039004e-155,1.89137045448192
57187,6.5087535378587e-154,1.8363942744902
23451,1.05733587015248e-153,1.49278140132207
259282,5.42391637166825e-153,1.80423386985045
6093,1.53243689660061e-152,1.74176589036875
3075,1.7003825014260701e-152,1.74697411947943
8615,1.7125677602410906e-152,1.51235996602786
79670,7.77322041167257e-152,1.67875956036259
55320,1.9453217992829503e-151,1.99810197391844
23271,2.7100184602261e-151,1.60206593634523
3842,5.3336122662663915e-151,1.48750641181905
4763,1.02560377639013e-150,1.3432638058247
9765,1.02560377639013e-150,1.93994829657272
22894,1.10542302142447e-150,1.81723486809133
22862,1.72527245219383e-150,1.65147283554869
7035,2.53082959086509e-150,1.37443309612898
57448,4.80961972892939e-150,1.49912264324613
4820,1.09170447043944e-149,1.65724744673408
6745,1.4640982023422801e-149,1.34035576989783
4012,2.18422757664627e-149,1.41221200785308
675,2.58705466343924e-149,2.24959297578416
9782,8.37590828788967e-149,1.40030309697028
6059,9.83747971181863e-149,1.46512872931856
4311,2.48411872000029e-147,1.55598711564727
5980,8.98944788948398e-147,1.79195264496044
29028,1.19431607906478e-146,1.6832779411655
6738,3.81415050791985e-146,1.61664402564475
29761,4.39780543633806e-146,1.81074204610939
24138,3.57471520245731e-145,1.65397037283314
5586,5.90627873691249e-145,1.5313677335436
4780,1.0781239128869e-144,1.62302080737039
10527,1.17591362531557e-144,1.34312586513473
23350,1.47005304481393e-144,1.63505782510622
7840,2.25557433942274e-144,1.87834283880889
127933,2.49658449386661e-144,1.3313269931069
51132,6.6616846910926e-144,1.41032239496147
9736,1.18837707903344e-143,1.72882444308546
7402,1.31150702858239e-143,1.8248737812667
23657,2.75964556003017e-143,1.68963168711514
375743,4.40433911577201e-143,1.62889015957593
23517,9.21717769331258e-143,1.59472815280874
23262,7.68271707076733e-142,1.80919422810253
329,1.00414657133959e-141,1.66601547320002
102,3.86373402736668e-141,1.32478301513424
2182,4.72815543880696e-141,1.39771692515433
54532,5.92018277634631e-141,1.94841243199323
79974,8.919655713664899e-141,1.58452864842444
23405,2.84774212186874e-140,1.94684757468468
9575,3.1251227110505e-140,1.69712345253791
51199,5.49659461363813e-140,1.65601450252964
1894,8.06297297012193e-140,1.77117928341277
7082,1.29098595867105e-139,1.19573243093003
23312,1.46028949515462e-139,2.09991055493987
2764,4.21510388754846e-139,1.68365567493983
7707,9.08086646525521e-139,1.59405739315268
10565,3.74886183667224e-137,1.62833172872829
202,4.48157896481404e-137,1.31108640824963
11073,8.20315580679487e-137,1.65964962905126
6594,1.31247638150698e-136,1.41326187406959
10561,2.58181825158497e-135,1.72922428364937
9135,1.19002822033545e-134,1.5289509349681
9321,3.4778432875797297e-134,2.26593187100037
27125,8.990946329672019e-134,1.29396668434202
10600,6.82272631316014e-133,2.08327788695969
4131,1.25244701477184e-132,1.72096280959056
85440,1.51708296009196e-132,1.52346746902104
160418,2.95193212071948e-132,1.70596697063252
4600,5.95103025012139e-132,1.33969870037632
54822,7.041584725087561e-132,1.70423053203567
7525,1.12416169274744e-131,1.60672470032158
51366,2.44583522457884e-131,1.26784704230049
9648,3.09711196304074e-131,2.04991998553902
200576,1.04161786295508e-130,1.55170937792025
330,1.02685899787495e-129,1.83527130767601
148362,1.64989943069501e-129,1.57501081384969
390,2.76579820073267e-129,1.59648183621089
8826,6.3922141528717e-129,1.46715671736014
23230,1.63268308352907e-128,1.97459065123054
10135,2.0244134936365e-128,1.36661912752037
9958,3.85870903425468e-128,1.84262735536609
54443,1.29648317750807e-127,1.74501909021568
79627,3.21149472976297e-127,1.19889669167297
55752,2.3322758925624488e-126,1.44149636021042
6018,5.80445537733921e-126,1.67236418063253
26009,7.45855703931453e-126,1.5247540746203
800,9.698359094455339e-126,1.28212648219301
1983,1.44759313286197e-125,1.14030525558108
829,1.7167617647728698e-125,1.22251694210331
55000,1.91474928866884e-125,1.66762761782981
3839,2.58006556899888e-125,1.48219102305027
5500,3.09720074340383e-125,1.23093254045653
6938,3.57389538882713e-125,1.28216035576383
23424,7.56455102511944e-125,1.65168105492063
23304,2.09386284784021e-124,1.46435961202295
528,1.54939544171713e-123,1.53064745064474
1130,2.32744672437466e-123,1.61701502982862
5925,3.08423586617508e-123,1.41594360118133
6731,3.64317383702268e-123,1.17607534866121
51762,3.92973037396505e-123,1.35248636885686
6935,6.16937738059773e-123,1.46058325968129
54801,6.56626293541211e-123,1.63457734290447
157680,9.563320569746328e-123,1.60613589194904
4289,1.17846029116351e-122,1.53970528172387
7110,2.35034924731926e-122,1.72270128223206
25998,1.2070547233072e-121,1.37960490482184
57515,1.51731330666405e-121,1.11874397726159
23049,2.50800630872037e-121,1.34259168394146
7174,3.74075218527004e-121,1.46688942645412
2241,5.68671118587429e-121,2.08382576156255
23272,1.19668296106849e-120,1.49922787212448
116064,2.2163630250787702e-120,1.42190348343098
8450,5.3328962037332606e-120,1.42936156971141
54726,1.38930852712259e-119,1.58561076154867
2186,3.24682906603688e-119,1.42169442017342
55681,4.40997550746174e-119,1.68447247557903
8661,2.39115251346994e-118,1.36664597501144
51474,3.02870193493865e-118,1.14766815657615
58517,4.4455608858361e-118,1.58639729162532
79659,5.59702144258598e-118,1.54809791469238
79982,1.07838508629293e-117,1.78770070189912
57561,1.1909660569411999e-117,1.36039791924882
3308,1.3778263994899102e-117,1.21760647400551
