entrez	pval	logfc
9821	0.0035147063410072	0.7
23071	0.676589520187422	0.1
211	0.0061031936016213	-1.1
330	0.573593432068559	0.3
11215	0.0033275102915612	0.6
51022	0.711658675136593	0.1
6617	0.0026950823850806	1.4
51071	0.163237367834429	-0.5
11171	0.0001012314952901	1.3
1244	0.62273210930086	0.4
50619	8.58916038439627e-05	-2.4
51177	0.867747405405836	0.1
2730	0.0037840095721799	1.4
23304	0.63739161111764	0.1
30846	0.147224055930765	0.6
55635	0.62155601703215	-0.5
25901	0.493195143694349	-0.4
58528	0.000902311876794	1.7
3298	0.284356116136837	0.7
51230	0.0037782430170843	0.6
8630	0.882379211124847	0.2
10062	0.828020721409353	-0.2
1890	0.0017052323113765	-1.7
29781	0.0019264589036718	-1.6
10953	0.691697770134197	-0.2
11231	2.59522889515687e-05	0.8
23633	0.127345676033791	0.5
7431	0.0002959362746203	1.2
100533107	0.0169851366773484	-2.4
355	0.61303891423547	0.2
8635	0.147633867234568	-0.6
960	0.0095170519010416	0.9
3755	0.0055802611254283	-2.4
56895	0.545464448047315	-0.3
57823	0.0080335238959919	-2.0
11119	0.703728870857174	-0.3
4285	0.893297984354561	0.1
5583	0.963901730688708	0.0
3645	0.98980786233081	0.0
3459	0.195386687378871	0.5
11285	0.200227018263535	-0.9
9047	0.819645316763881	-0.2
7444	0.777226847367385	-0.2
7133	0.0836117123387526	-0.9
55591	0.155595328476579	0.5
5452	0.174879211618596	-0.9
65980	0.394801898464615	-0.4
6642	0.0098911010576373	0.5
9519	0.389178269017199	0.4
56938	0.0835929923306671	1.3
9774	0.36523283920374	0.2
55334	0.935434500425272	0.0
286	0.264719131905374	-1.0
51106	0.0829062560389228	-0.9
9135	0.829426965491831	0.0
3149	0.910340803469307	-0.1
23279	0.388009688304326	0.4
578	0.0700736963915168	-1.4
4593	0.30076452687027	0.7
22807	0.124859797857898	0.8
2896	0.0978911393791903	-0.8
51306	0.540487278096754	0.2
57514	0.709211300008098	0.2
55166	0.098390461777572	1.0
6301	0.630476698494261	-0.3
8498	0.883083394401636	0.1
5926	0.55439104419078	0.2
7260	0.0471979727566204	-1.0
10908	0.163464771650512	-0.8
8100	0.559533801544383	-0.2
56052	0.150834325250879	-1.1
55596	0.317395898707021	0.4
10061	0.0506726693953892	-1.1
54480	0.0359018392427763	-1.3
57554	0.551038558235454	0.5
2530	0.0001856566568712	-1.2
55236	0.0024030294862585	0.7
9846	0.520863269973974	-0.3
535	0.202078154670322	0.5
8554	0.0027799432235012	0.9
9497	0.498272463283663	0.3
321	0.666023059950481	0.4
5606	0.0741553594959367	-0.6
79645	0.945527056503424	-0.1
9168	0.907966050146056	-0.1
28990	0.789692625299446	0.2
25897	0.048146162151101	0.5
8504	0.356930612698651	0.5
11345	0.0287129196100944	0.8
4653	0.495028807815468	-0.8
26751	0.9536260858348	0.0
84908	0.336383167126556	-0.4
7414	0.018157207058496	0.9
55789	0.0268566944323135	-1.7
23604	0.702380531620452	-0.3
